RegionID,RegionName,StateName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
274772,Northeast Dallas,Texas,1,270000,277200,280000,287100,287400,286600,298300,293900,292300,275300,279600,283100,298100,306100,308500,305000,303200,309100,312800,315300,318800,326100,337000,334000,332100,329800,334800,343500,343600,345500,342000,345300,346500,350000,344700,347100,349600,346700,346700,345600,353700,351200,351500,355000,358400,349500,363400,370900,378700,363100,357300,358200,358100,355900,356900,364300,366300,370600,372700,,,,
112345,Maryvale,Arizona,2,109700,110600,108800,114400,118900,120500,122200,121500,119900,120100,120000,123100,125800,133800,136100,136600,132600,132100,135800,137500,140300,141700,145900,146600,147300,147200,148500,150000,149200,150900,149900,152800,155500,159900,159700,160700,162800,165900,167200,169100,171300,173400,173800,173900,175700,176300,178100,179500,180400,181500,180600,183200,184600,188600,187500,187700,192300,194900,199400,196100,207200,213200,
192689,Paradise,Nevada,3,165100,166100,170300,174300,175400,168000,167300,170200,179100,180500,183300,181600,177200,177500,176600,182200,182500,183600,183600,184700,185500,186700,185100,186200,189600,193000,198000,197500,201700,204600,207600,207200,209600,214000,219500,223200,225600,227500,227200,230200,234700,240400,242500,253600,253500,254700,247600,249000,252900,252900,252400,247500,248600,253100,256400,256900,255600,252600,251000,250000,257800,261900,268400
270958,Upper West Side,New York,4,962700,962400,1017800,1065800,1083600,1092900,1130300,1202400,1234500,1282800,1335500,1346700,1309400,1267900,1280300,1220400,1203800,1154400,1178900,1111300,1055400,1040000,1194700,1212700,1216300,1179300,1193000,1196800,1170000,1187700,1201800,1151400,1142800,1105700,1154100,1199900,1232400,1152100,1095300,1128600,1150500,1165500,1131100,1212900,1213700,1159600,1060400,1064400,1143500,1213900,1244400,1243900,1259900,1254600,1214000,1125800,1091900,1076500,1075500,1055100,998800,1031100,1042400
118208,South Los Angeles,California,5,298000,298200,301200,312500,314200,311700,304700,305700,313000,319800,323600,323800,326000,336400,343600,347500,346900,354000,360000,368200,367800,369300,368800,372400,375900,378200,383700,385200,391000,399200,408900,418200,417700,419900,423700,438600,451600,458900,461000,454300,460900,465800,471300,470300,463800,468300,472300,474200,469200,464600,466000,473900,480400,498400,495600,497300,492600,499300,516600,524700,537000,528500,
270957,Upper East Side,New York,6,963700,959300,939300,938400,932200,957600,929600,926400,952200,982700,1078100,1083000,1072200,1035900,1103200,1138400,1103400,1076400,1080400,1111300,1042400,999800,944300,906600,959300,946300,950600,969500,984700,1104000,1045700,1031700,953500,1081800,1064400,1077300,1217300,1308600,1294900,1048600,1021000,1003700,1011000,997200,1032000,1058000,1087100,1057500,1016100,987500,1049300,1040100,1055200,1126900,1210100,1195500,1145500,1070100,1048600,960200,990200,999500,967500
192820,Sunrise Manor,Nevada,7,130800,126100,125300,131200,131200,132000,134000,134300,136100,132800,134300,134500,152500,152600,154000,139000,141200,143400,142100,141600,142500,144700,146900,145900,149600,154700,158600,160600,160200,162400,163900,165200,164200,166200,170600,176500,179200,178000,183000,184600,191900,201200,205200,205900,201100,207500,207800,207100,204100,205400,207800,210400,214000,216800,216300,215800,209400,210300,216700,220100,222200,221400,229600
192796,Spring Valley,Nevada,8,,,,,,,,,,,,,,,,,,,,,,,,,,212500,214000,215500,215500,220400,225000,233600,249200,253000,253900,243700,249900,249100,251900,250400,256500,259400,263700,263500,262900,264000,264500,270600,265600,270400,271000,274800,272800,270100,268500,269100,270900,275400,275000,273900,277500,289600,293200
268496,Southeast Los Angeles,California,9,250700,243500,252600,253300,258600,266900,271400,266100,266800,269500,279700,282300,285200,291700,293000,289900,288900,290700,302700,302500,306300,309900,314900,315500,313800,318300,325300,318900,324900,318100,329000,330700,342200,347600,352600,353200,354100,346400,348900,350400,352600,353900,356900,364200,366700,383200,388200,390800,379800,380300,385100,380700,388200,391600,402700,408400,410800,423100,419600,429700,415800,434400,416800
194430,East New York,New York,10,266600,266400,247800,254500,257500,253800,263500,272600,300600,299200,293400,311600,311400,330400,328000,340600,343600,335300,313800,313200,315600,344400,355400,362100,376400,359000,364800,368000,386400,398200,376900,386400,363800,347600,340500,363800,397400,391400,404700,391300,379700,354800,362700,369900,402400,402600,400900,368200,347700,375600,387300,423700,405500,412800,414800,423700,440400,419800,418600,431100,429200,442400,459200
112547,Paradise Valley,Arizona,11,204200,210200,215500,219200,214800,215500,205400,206700,204200,215000,213400,216200,223500,225700,224900,220200,224600,227600,228500,230800,236700,239700,249000,249600,250700,245300,245900,244200,242500,241900,245400,248600,248600,248300,261200,265000,271300,261900,262800,264300,268500,270100,273700,274500,269500,269800,268900,275200,274600,276400,280500,282300,284600,282900,283100,279600,279200,287900,299300,309300,315300,323600,
111818,Deer Valley,Arizona,12,150200,153100,154000,163400,169000,170500,172800,171100,173800,176400,179400,184200,184800,185700,184000,194500,198700,200800,193500,193900,197600,199700,202000,201500,203500,206400,208500,208300,206500,205900,209300,211000,213500,214900,219300,221600,219000,217000,219300,228400,230900,233500,230300,231200,227400,227300,226200,227300,229400,233600,238900,241700,244800,243800,244100,242700,246200,246700,246600,249400,252600,262100,
267955,North Mountain,Arizona,13,133900,136400,138600,140100,148200,150400,153500,150000,152400,151400,151900,152700,156500,160300,159900,157800,159600,163500,166200,166100,166600,160900,165400,168600,178200,176400,175700,174000,175200,174500,174600,174200,177300,177200,180500,178600,189800,194300,199500,197900,197400,198400,199600,199400,201000,202900,204700,206900,217100,214800,220900,211800,218700,214500,217900,217500,223200,220800,226400,225600,233900,229800,
272816,Astoria,New York,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508900,489100,518100,532700,554200,535500,520300,510100,555600,590300,609400,603300,557700,558200,633900,675100,707500,607600,639000,590900,575000,584500,613400,657700,634900,693600,714900,731800,657100,638300,598500,551300
273698,Far North,Texas,15,311500,311200,314600,305300,301000,303800,310700,314100,309500,309700,309000,312400,315500,320300,325600,329400,340300,340300,342100,333400,343600,343900,349100,340900,348100,349000,351600,358800,360900,367100,358300,365400,358900,356900,353800,361600,360100,374900,375500,374400,376600,371400,384600,364700,368700,381300,401300,429000,412600,377200,356200,350900,377900,373300,381200,375500,389400,393800,404700,399600,393500,382200,383900
32059,Hollywood,California,16,,,,,,,,,,,,,,,,,,,583900,601700,593500,603500,587500,584800,570100,596400,643300,634200,569100,519800,563700,600400,592800,567600,574600,655400,694700,662300,617000,627000,719300,758800,716200,665800,672700,754300,786700,760100,763100,776500,803800,837700,862800,870800,841700,838600,821800,813600,839100,907200,933800,950300,847000
267908,Camelback East,Arizona,17,191200,202400,207900,209600,227600,225000,223300,213000,225000,243000,246700,238000,224300,218900,223400,216600,215500,218600,217000,222500,218200,220600,248600,257900,258600,223200,208200,215900,216000,226900,225800,232600,227400,231700,235000,249500,272000,271200,273700,249200,247500,243000,256600,259900,260100,258900,308600,305400,299500,254700,254400,259200,261900,273300,275100,283200,288200,285200,295900,305500,319800,311600,
275473,Southeast Dallas,Texas,18,,,,,,,,,,,,,,,,,,,93800,95100,103900,108300,108000,105200,108500,111000,113900,113100,113400,112700,115000,117000,117500,116800,120200,125900,127600,126600,123000,128200,128100,128600,121700,124900,125900,137100,136900,137300,131900,132700,136000,135300,130300,131400,130900,139800,140900,148500,150200,157300,155400,153600,151500
272734,Alhambra,Arizona,19,128400,127500,125500,129500,130800,146500,145500,148700,136300,140200,141000,143100,144800,146200,152100,153400,158400,155900,153800,151400,155800,160000,160400,163400,164700,169600,168900,169800,168200,171000,177300,177200,176200,166000,167200,184400,198000,199400,181200,184300,187000,191400,210300,215700,215100,188900,184400,184400,184800,185500,193200,202200,210900,212300,210100,206600,207700,204900,208900,218200,221900,227700,
